SoftPertPop,RectifiedNashPertPop,NashPertPopulation,SelfPlayPertPopulation,FictitiousPertPopulation,SoftPertPop_std,RectifiedNashPertPop_std,NashPertPopulation_std,SelfPlayPertPopulation_std,FictitiousPertPopulation_std
-11.3,-11.3,-11.2,-3.95,-4.0,0.5835237784358063,0.5661271941887265,0.5856620185738529,0.4608416213841801,0.5477225575051661
-11.6,-11.6,-11.6,-0.2,-1.7,0.535723809439155,0.535723809439155,0.535723809439155,0.08944271909999159,0.3471310991541957
-11.0,-11.0,-11.0,0.0,-0.55,0.6204836822995429,0.6204836822995429,0.6204836822995429,0.0,0.16545392107774298
-10.6,-10.7,-10.6,0.0,-0.35,0.4604345773288535,0.4533210782657255,0.4604345773288535,0.0,0.12796483892069724
-9.3,-9.3,-9.3,0.0,-0.05,0.36810324638611924,0.36810324638611924,0.36810324638611924,0.0,0.048733971724044804
-6.7,-6.65,-6.7,0.0,0.0,0.6208864630510154,0.6374754897248991,0.6208864630510155,0.0,0.0
-2.05,-1.85,-1.8,0.0,0.0,0.455384452962549,0.4705050477943887,0.47749345545253286,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
