SoftPertPop,RectifiedNashPertPop,NashPertPopulation,SelfPlayPertPopulation,FictitiousPertPopulation,SoftPertPop_std,RectifiedNashPertPop_std,NashPertPopulation_std,SelfPlayPertPopulation_std,FictitiousPertPopulation_std
-11.1,-11.1,-11.1,-3.65,-4.0,0.44102154142399885,0.44102154142399885,0.44102154142399885,0.35549261595706877,0.42426406871192845
-12.75,-12.75,-12.75,-0.55,-2.35,0.5739120141624499,0.5739120141624499,0.5739120141624499,0.16545392107774298,0.34113780206831373
-11.85,-11.85,-11.85,0.0,-0.55,0.49636176323322884,0.49636176323322884,0.49636176323322884,0.0,0.1495827530165159
-11.75,-11.75,-11.75,0.0,-0.35,0.6514407110397691,0.6514407110397691,0.6514407110397691,0.0,0.16240381768911716
-11.4,-11.4,-11.4,0.0,-0.05,0.3898717737923585,0.3898717737923585,0.3898717737923585,0.0,0.048733971724044804
-10.15,-10.15,-10.15,0.0,0.0,0.5668994619859857,0.5668994619859857,0.5668994619859857,0.0,0.0
-8.6,-8.6,-8.6,0.0,0.0,0.4438468204234429,0.4438468204234429,0.4438468204234429,0.0,0.0
-7.7,-7.7,-7.7,0.0,0.0,0.5296225070746144,0.5296225070746144,0.5296225070746144,0.0,0.0
